COORD_OP_METHOD_CODE,PARAMETER_CODE,SORT_ORDER,PARAM_SIGN_REVERSAL
1036,1024,1,No
1040,1024,1,No
1040,1025,2,No
9618,8601,1,Yes
9619,8601,1,Yes
9660,8601,1,Yes
9601,8602,1,Yes
9618,8602,2,Yes
9619,8602,2,Yes
9660,8602,2,Yes
9616,8603,1,Yes
9657,8603,3,Yes
9660,8603,3,Yes
9618,8604,3,Yes
1031,8605,1,Yes
1032,8605,1,Yes
1033,8605,1,Yes
1034,8605,1,Yes
1035,8605,1,Yes
1037,8605,1,Yes
1038,8605,1,Yes
1039,8605,1,Yes
9603,8605,1,Yes
9604,8605,1,Yes
9605,8605,1,Yes
9606,8605,1,Yes
9607,8605,1,Yes
9636,8605,1,Yes
1031,8606,2,Yes
1032,8606,2,Yes
1033,8606,2,Yes
1034,8606,2,Yes
1035,8606,2,Yes
1037,8606,2,Yes
1038,8606,2,Yes
1039,8606,2,Yes
9603,8606,2,Yes
9604,8606,2,Yes
9605,8606,2,Yes
9606,8606,2,Yes
9607,8606,2,Yes
9636,8606,2,Yes
1031,8607,3,Yes
1032,8607,3,Yes
1033,8607,3,Yes
1034,8607,3,Yes
1035,8607,3,Yes
1037,8607,3,Yes
1038,8607,3,Yes
1039,8607,3,Yes
9603,8607,3,Yes
9604,8607,3,Yes
9605,8607,3,Yes
9606,8607,3,Yes
9607,8607,3,Yes
9636,8607,3,Yes
1032,8608,4,Yes
1033,8608,4,Yes
1034,8608,4,Yes
1037,8608,4,Yes
1038,8608,4,Yes
1039,8608,4,Yes
9606,8608,4,Yes
9607,8608,4,Yes
9636,8608,4,Yes
1032,8609,5,Yes
1033,8609,5,Yes
1034,8609,5,Yes
1037,8609,5,Yes
1038,8609,5,Yes
1039,8609,5,Yes
9606,8609,5,Yes
9607,8609,5,Yes
9636,8609,5,Yes
1032,8610,6,Yes
1033,8610,6,Yes
1034,8610,6,Yes
1037,8610,6,Yes
1038,8610,6,Yes
1039,8610,6,Yes
9606,8610,6,Yes
9607,8610,6,Yes
9636,8610,6,Yes
1032,8611,7,Yes
1033,8611,7,Yes
1034,8611,7,Yes
1037,8611,7,Yes
1038,8611,7,Yes
1039,8611,7,Yes
9606,8611,7,Yes
9607,8611,7,Yes
9621,8611,3,No
9636,8611,7,Yes
9622,8612,3,
9623,8612,3,No
9622,8613,4,
9623,8613,4,No
9621,8614,4,No
9622,8614,6,
9623,8615,6,No
9623,8616,7,No
1034,8617,8,No
1039,8617,8,No
9628,8617,1,No
9629,8617,1,No
9630,8617,1,No
9636,8617,8,No
9649,8617,1,No
9650,8617,1,No
9651,8617,1,No
9654,8617,1,No
9657,8617,1,No
1034,8618,9,No
1039,8618,9,No
9628,8618,2,No
9629,8618,2,No
9630,8618,2,No
9636,8618,9,No
9649,8618,2,No
9650,8618,2,No
9651,8618,2,No
9654,8618,2,No
9657,8618,2,No
9625,8619,1,
9626,8619,1,
9627,8619,1,
9631,8619,1,
9632,8619,1
9645,8619,1
9646,8619,1
9647,8619,1
9648,8619,1
9652,8619,1
9653,8619,1
9625,8620,2
9626,8620,2
9627,8620,2
9631,8620,2
9632,8620,2
9645,8620,2
9646,8620,2
9647,8620,2
9648,8620,2
9652,8620,2,
9653,8620,2,
9621,8621,1,No
9622,8621,1,
9623,8621,1,No
9625,8621,3,
9626,8621,3,
9627,8621,3,
9631,8621,3,
9632,8621,3,
9645,8621,3,
9646,8621,3,
9647,8621,3,
9648,8621,3,
9652,8621,3,
9653,8621,3,
9621,8622,2,No
9622,8622,2,
9623,8622,2,No
9625,8622,4,
9626,8622,4,
9627,8622,4,
9631,8622,4,
9632,8622,4,
9645,8622,4,
9646,8622,4,
9647,8622,4,
9648,8622,4,
9652,8622,4,
9653,8622,4,
9617,8623,1,
9624,8623,1,No
9625,8623,5,
9626,8623,5,
9627,8623,5,
9628,8623,3,Yes
9629,8623,3,Yes
9630,8623,3,Yes
9645,8623,7,
9646,8623,7,
9647,8623,7,
9648,8623,7,
9649,8623,4,Yes
9650,8623,4,Yes
9651,8623,4,Yes
9654,8623,4,Yes
9617,8624,2,
9624,8624,2,No
9625,8624,6,
9626,8624,6,
9627,8624,6,
9628,8624,4,Yes
9629,8624,4,Yes
9630,8624,4,Yes
9631,8624,5,
9632,8624,5,
9652,8624,7,
9653,8624,7,
9617,8625,3,
9624,8625,3,No
9625,8625,7,
9626,8625,7,
9627,8625,7,
9628,8625,5,Yes
9629,8625,5,Yes
9630,8625,5,Yes
9631,8625,6,
9632,8625,6,
9652,8625,8,
9653,8625,8,
9617,8626,4,
9625,8626,8,
9626,8626,8,
9627,8626,8,
9628,8626,6,Yes
9629,8626,6,Yes
9630,8626,6,Yes
9631,8626,7,
9632,8626,7,
9652,8626,9,
9653,8626,9,
9625,8627,9,
9626,8627,9,
9627,8627,9,
9628,8627,7,Yes
9629,8627,7,Yes
9630,8627,7,Yes
9631,8627,8,
9632,8627,8,
9652,8627,10,
9653,8627,10,
9625,8628,10,
9626,8628,10,
9627,8628,10,
9628,8628,8,Yes
9629,8628,8,Yes
9630,8628,8,Yes
9631,8628,9,
9632,8628,9,
9652,8628,11,
9653,8628,11,
9626,8629,11,
9627,8629,11,
9629,8629,9,Yes
9630,8629,9,Yes
9631,8629,10,
9632,8629,10,
9652,8629,12,
9653,8629,12,
9626,8630,12,
9627,8630,12,
9629,8630,10,Yes
9630,8630,10,Yes
9632,8630,11,
9653,8630,13,
9626,8631,13,
9627,8631,13,
9629,8631,11,Yes
9630,8631,11,Yes
9632,8631,12,
9653,8631,14,
9626,8632,14,
9627,8632,14,
9629,8632,12,Yes
9630,8632,12,Yes
9646,8632,16,
9647,8632,16,
9648,8632,16,
9650,8632,13,Yes
9651,8632,13,Yes
9627,8633,15,
9630,8633,13,Yes
9647,8633,17,
9648,8633,17,
9651,8633,14,Yes
9654,8633,14,Yes
9627,8634,16,
9630,8634,14,Yes
9647,8634,18,
9648,8634,18,
9651,8634,15,Yes
9627,8635,17,
9630,8635,15,Yes
9647,8635,19,
9648,8635,19,
9651,8635,16,Yes
9627,8636,18,
9630,8636,16,Yes
9647,8636,20,
9648,8636,20,
9651,8636,17,Yes
9627,8637,19,
9630,8637,17,Yes
9647,8637,21,
9648,8637,21,
9651,8637,18,Yes
9617,8638,5,
9617,8639,6,
9624,8639,4,No
9625,8639,11,
9626,8639,15,
9627,8639,20,
9628,8639,9,Yes
9629,8639,13,Yes
9630,8639,18,Yes
9645,8639,13,
9646,8639,17,
9647,8639,22,
9648,8639,35,
9649,8639,10,Yes
9650,8639,14,Yes
9651,8639,19,Yes
9654,8639,109,Yes
9617,8640,7,
9624,8640,5,No
9625,8640,12,
9626,8640,16,
9627,8640,21,
9628,8640,10,Yes
9629,8640,14,Yes
9630,8640,19,Yes
9617,8641,8,
9624,8641,6,No
9625,8641,13,
9626,8641,17,
9627,8641,22,
9628,8641,11,Yes
9629,8641,15,Yes
9630,8641,20,Yes
9617,8642,9,
9625,8642,14,
9626,8642,18,
9627,8642,23,
9628,8642,12,Yes
9629,8642,16,Yes
9630,8642,21,Yes
9625,8643,15,
9626,8643,19,
9627,8643,24,
9628,8643,13,Yes
9629,8643,17,Yes
9630,8643,22,Yes
9645,8643,17,
9646,8643,21,
9647,8643,26,
9648,8643,39,
9649,8643,14,Yes
9650,8643,18,Yes
9651,8643,23,Yes
9654,8643,113,Yes
9625,8644,16,
9626,8644,20,
9627,8644,25,
9628,8644,14,Yes
9629,8644,18,Yes
9630,8644,23,Yes
9645,8644,18,
9646,8644,22,
9647,8644,27,
9648,8644,40,
9649,8644,15,Yes
9650,8644,19,Yes
9651,8644,24,Yes
9654,8644,114,Yes
9626,8645,21,
9627,8645,26,
9629,8645,19,Yes
9630,8645,24,Yes
9646,8645,23,
9647,8645,28,
9648,8645,41,
9650,8645,20,Yes
9651,8645,25,Yes
9654,8645,115,Yes
9626,8646,22,
9627,8646,27,
9629,8646,20,Yes
9630,8646,25,Yes
9646,8646,24,
9647,8646,29,
9648,8646,42,
9650,8646,21,Yes
9651,8646,26,Yes
9626,8647,23,
9627,8647,28,
9629,8647,21,Yes
9630,8647,26,Yes
9646,8647,25,
9647,8647,30,
9648,8647,43,
9650,8647,22,Yes
9651,8647,27,Yes
9626,8648,24,
9627,8648,29,
9629,8648,22,Yes
9630,8648,27,Yes
9646,8648,26,
9647,8648,31,
9648,8648,44,
9650,8648,23,Yes
9651,8648,28,Yes
9627,8649,30,
9630,8649,28,Yes
9647,8649,32,
9648,8649,45,
9651,8649,29,Yes
9654,8649,119,Yes
9627,8650,31,
9630,8650,29,Yes
9647,8650,33,
9648,8650,46,
9651,8650,30,Yes
9627,8651,32,
9630,8651,30,Yes
9647,8651,34,
9648,8651,47,
9651,8651,31,Yes
9627,8652,33,
9630,8652,31,Yes
9647,8652,35,
9648,8652,48,
9651,8652,32,Yes
9654,8652,122,Yes
9627,8653,34,
9630,8653,32,Yes
9647,8653,36,
9648,8653,49,
9651,8653,33,Yes
9604,8654,4,Yes
9605,8654,4,Yes
9604,8655,5,Yes
9605,8655,5,Yes
9614,8656,1,Yes
9615,8656,1,Yes
9613,8657,1,Yes
9613,8658,2,Yes
9620,8659,1,
9620,8660,2,
9620,8661,3,
9620,8662,4,
9622,8663,5,
9623,8663,5,No
9633,8664,1,Yes
9634,8665,1,
1025,8666,1,
1030,8666,1,
9635,8666,1,Yes
9661,8666,1,
9662,8666,1,
9663,8666,1,
9664,8666,1,
9665,8666,1,
1034,8667,10,No
1039,8667,10,No
9636,8667,10,No
9648,8668,22,
9648,8669,23,
9654,8669,20,Yes
9648,8670,24,
9648,8671,25,
9648,8672,26,
9648,8673,27,
9648,8674,28,
9648,8675,29,
9648,8676,30,
9648,8677,31,
9648,8678,32,
9648,8679,33,
9648,8680,34,
9648,8681,50,
9654,8681,124,Yes
9648,8682,51,
9648,8683,52,
9648,8684,53,
9654,8684,127,Yes
9648,8685,54,
9654,8685,128,Yes
9648,8686,55,
9654,8686,129,Yes
9648,8687,56,
9654,8687,130,Yes
9648,8688,57,
9648,8689,58,
9648,8690,59,
9654,8690,133,Yes
9648,8691,60,
9654,8691,134,Yes
9648,8692,61,
9654,8692,135,Yes
9648,8693,62,
9645,8694,5,
9646,8694,5,
9647,8694,5,
9648,8694,5,
9652,8694,5,
9653,8694,5,
9645,8695,6,
9646,8695,6,
9647,8695,6,
9648,8695,6,
9652,8695,6,
9653,8695,6,
9649,8696,3,No
9650,8696,3,No
9651,8696,3,No
9654,8696,3,No
9654,8697,34,Yes
9654,8698,48,Yes
9654,8699,49,Yes
9654,8700,56,Yes
9654,8701,68,Yes
9654,8702,91,Yes
9654,8703,137,Yes
9654,8704,138,Yes
9654,8705,149,Yes
9654,8706,155,Yes
9654,8707,156,Yes
9654,8708,161,Yes
9654,8709,163,Yes
9654,8710,170,Yes
9654,8711,177,Yes
9654,8712,178,Yes
9654,8713,194,Yes
9654,8714,204,Yes
9654,8715,209,Yes
9645,8716,8,
9646,8716,8,
9647,8716,8,
9648,8716,8,
9649,8716,5,Yes
9650,8716,5,Yes
9651,8716,5,Yes
9654,8716,5,Yes
9645,8717,9,
9646,8717,9,
9647,8717,9,
9648,8717,9,
9649,8717,6,Yes
9650,8717,6,Yes
9651,8717,6,Yes
9654,8717,6,Yes
9645,8718,10,
9646,8718,10,
9647,8718,10,
9648,8718,10,
9649,8718,7,Yes
9650,8718,7,Yes
9651,8718,7,Yes
9654,8718,7,Yes
9645,8719,11,
9646,8719,11,
9647,8719,11,
9648,8719,11,
9649,8719,8,Yes
9650,8719,8,Yes
9651,8719,8,Yes
9654,8719,8,Yes
9645,8720,12,
9646,8720,12,
9647,8720,12,
9648,8720,12,
9649,8720,9,Yes
9650,8720,9,Yes
9651,8720,9,Yes
9646,8721,13,
9647,8721,13,
9648,8721,13,
9650,8721,10,Yes
9651,8721,10,Yes
9654,8721,10,Yes
9646,8722,14,
9647,8722,14,
9648,8722,14,
9650,8722,11,Yes
9651,8722,11,Yes
9654,8722,11,Yes
9646,8723,15,
9647,8723,15,
9648,8723,15,
9650,8723,12,Yes
9651,8723,12,Yes
9645,8724,14,
9646,8724,18,
9647,8724,23,
9648,8724,36,
9649,8724,11,Yes
9650,8724,15,Yes
9651,8724,20,Yes
9654,8724,110,Yes
9645,8725,15,
9646,8725,19,
9647,8725,24,
9648,8725,37,
9649,8725,12,Yes
9650,8725,16,Yes
9651,8725,21,Yes
9654,8725,111,Yes
9645,8726,16,
9646,8726,20,
9647,8726,25,
9648,8726,38,
9649,8726,13,Yes
9650,8726,17,Yes
9651,8726,22,Yes
9654,8726,112,Yes
9655,8727,1,Yes
9656,8728,1,Yes
9656,8729,2,Yes
9657,8730,4,Yes
9657,8731,5,Yes
9658,8732,1,Yes
9666,8733,1,No
9666,8734,2,No
9666,8735,3,No
9666,8736,4,No
9666,8737,5,No
9666,8738,6,No
9666,8739,7,No
9666,8740,8,No
9666,8741,9,No
9666,8742,10,No
1024,8801,1,No
1026,8801,1,No
1027,8801,1,No
9801,8801,1,No
9804,8801,1,No
9806,8801,1,No
9807,8801,1,No
9808,8801,1,No
9809,8801,1,No
9810,8801,1,No
9811,8801,1,No
9817,8801,1,No
9818,8801,1,No
9820,8801,1,No
9823,8801,1,No
9824,8801,1,No
9826,8801,1,No
9827,8801,1,No
9828,8801,1,No
9831,8801,1,No
9832,8801,1,No
9833,8801,1,No
9840,8801,1,No
9841,8801,1,No
9842,8801,1,No
1024,8802,2,No
1026,8802,2,No
1027,8802,2,No
1028,8802,2,No
1029,8802,2,No
9801,8802,2,No
9804,8802,2,No
9805,8802,2,No
9806,8802,2,No
9807,8802,2,No
9808,8802,2,No
9809,8802,2,No
9810,8802,2,No
9811,8802,2,No
9817,8802,2,No
9818,8802,2,No
9820,8802,2,No
9823,8802,2,No
9826,8802,2,No
9827,8802,2,No
9828,8802,2,No
9831,8802,2,No
9832,8802,2,No
9833,8802,2,No
9834,8802,2,No
9835,8802,2,No
9840,8802,2,No
9841,8802,2,No
9801,8805,3,No
9804,8805,3,No
9807,8805,3,No
9808,8805,3,No
9809,8805,3,No
9810,8805,3,No
9817,8805,3,No
9824,8805,4,No
9826,8805,3,No
9841,8805,3,No
1024,8806,3,No
1026,8806,3,No
1027,8806,3,No
1028,8806,3,No
1029,8806,3,No
9801,8806,4,No
9804,8806,4,No
9805,8806,3,No
9806,8806,3,No
9807,8806,4,No
9808,8806,4,No
9809,8806,4,No
9810,8806,4,No
9811,8806,3,No
9812,8806,6,No
9813,8806,5,No
9817,8806,4,No
9818,8806,3,No
9819,8806,6,No
9820,8806,3,No
9821,8806,3,No
9823,8806,3,No
9824,8806,5,No
9826,8806,4,No
9827,8806,3,No
9828,8806,3,No
9829,8806,3,No
9831,8806,3,No
9832,8806,3,No
9833,8806,3,No
9834,8806,3,No
9835,8806,3,No
9840,8806,3,No
9841,8806,4,No
9842,8806,3,No
1024,8807,4,No
1026,8807,4,No
1027,8807,4,No
1028,8807,4,No
1029,8807,4,No
9801,8807,5,No
9804,8807,5,No
9805,8807,4,No
9806,8807,4,No
9807,8807,5,No
9808,8807,5,No
9809,8807,5,No
9810,8807,5,No
9811,8807,4,No
9812,8807,7,No
9813,8807,6,No
9817,8807,5,No
9818,8807,4,No
9819,8807,7,No
9820,8807,4,No
9821,8807,4,No
9823,8807,4,No
9824,8807,6,No
9826,8807,5,No
9827,8807,4,No
9828,8807,4,No
9829,8807,4,No
9831,8807,4,No
9832,8807,4,No
9833,8807,4,No
9834,8807,4,No
9835,8807,4,No
9840,8807,4,No
9841,8807,5,No
9842,8807,4,No
9812,8811,1,No
9813,8811,1,No
9814,8811,1,No
9815,8811,1,No
9819,8811,1,No
9812,8812,2,No
9813,8812,2,No
9814,8812,2,No
9815,8812,2,No
9812,8813,3,No
9813,8813,3,No
9815,8813,3,No
9819,8813,3,No
9812,8814,4,No
9815,8814,4,No
9812,8815,5,No
9813,8815,4,No
9815,8815,5,No
9814,8816,3,No
9815,8816,6,No
9814,8817,4,No
9815,8817,7,No
9819,8818,4,No
9819,8819,5,No
9802,8821,1,No
9803,8821,1,No
9816,8821,1,No
9822,8821,1,No
9802,8822,2,No
9803,8822,2,No
9816,8822,2,No
9822,8822,2,No
9842,8822,2,No
1028,8823,1,No
1029,8823,1,No
9802,8823,3,No
9803,8823,3,No
9805,8823,1,No
9822,8823,3,No
9834,8823,1,No
9835,8823,1,No
9802,8824,4,No
9803,8824,4,No
9822,8824,4,No
9802,8826,5,No
9803,8826,5,No
9816,8826,3,No
9822,8826,5,No
9830,8826,3,No
9802,8827,6,No
9803,8827,6,No
9816,8827,4,No
9822,8827,6,No
9830,8827,4,No
9821,8828,1,No
9821,8829,2,No
9824,8830,2,No
9824,8831,3,No
9829,8832,1,No
9830,8832,1,No
9819,8833,2,No
9829,8833,2,No
9830,8833,2,No
9837,8834,1,No
9838,8834,1,
9839,8834,1,
9837,8835,2,No
9838,8835,2,
9839,8835,2,
9837,8836,3,No
9838,8836,3,
9836,8837,1,No
9836,8838,2,No
9836,8839,3,No
9838,8840,4
